#{"t_start": 1768909328.8011923, "env_id": "None"}
r,l,t
-1066.0,67,8.563489
-1093.0,94,9.809436
-600.0,600,31.28744
-600.0,600,31.287506
-600.0,600,31.287521
-600.0,600,31.287532
-600.0,600,31.287542
-600.0,600,31.287552
-600.0,600,65.978529
-600.0,600,80.712458
-600.0,600,447.372157
-600.0,600,447.372223
-600.0,600,447.372235
-600.0,600,447.372244
-600.0,600,447.372253
-600.0,600,447.372261
-1004.0,5,451.500185
-600.0,600,499.470465
-600.0,600,519.829826
-1120.0,121,540.470096
-1136.0,137,553.559338
-1138.0,139,555.177963
-1500.0,501,807.186471
-1409.0,410,835.531412
-600.0,600,868.682996
-600.0,600,871.9224
-1099.0,100,899.863708
-600.0,600,913.644345
-600.0,600,934.560156
-600.0,600,955.721911
-600.0,600,968.225484
-1167.0,168,989.735362
-1124.0,125,992.738923
-1195.0,196,1142.162605
-1597.0,598,1246.699615
-1023.0,24,1266.252686
-1461.0,462,1312.528727
-600.0,600,1330.134973
-1446.0,447,1338.250612
-600.0,600,1377.544964
-600.0,600,1398.0661
-149.0,150,1429.385206
-1130.0,131,1431.869001
-600.0,600,1434.353336
-1006.0,7,1440.064509
-1005.0,6,1444.98994
-1005.0,6,1449.924285
-1016.0,17,1463.845738
-1448.0,449,1498.377434
-1104.0,105,1546.849828
-600.0,600,1744.812758
-600.0,600,1820.218231
-600.0,600,1862.590992
-600.0,600,1884.666428
-1009.0,10,1892.832002
-1423.0,424,1892.832072
-600.0,600,1916.520787
-600.0,600,1918.976207
-600.0,600,1981.580749
-600.0,600,2231.023273
-600.0,600,2303.55787
-600.0,600,2344.946412
-600.0,600,2374.108086
-600.0,600,2374.108154
-600.0,600,2397.054812
-600.0,600,2399.461416
-600.0,600,2464.886191
-1439.0,440,2582.789402
-600.0,600,2785.540311
-600.0,600,2827.971166
-600.0,600,2858.008513
-600.0,600,2858.008582
-600.0,600,2879.41651
-600.0,600,2881.722888
-600.0,600,2947.826919
-600.0,600,3066.705797
-1317.0,318,3140.765969
-1156.0,157,3194.61404
-1542.0,543,3225.494715
-1024.0,25,3245.941675
-1120.0,121,3293.335361
-600.0,600,3314.624817
-600.0,600,3344.938951
-600.0,600,3344.939022
-1023.0,24,3364.517713
-600.0,600,3368.627218
-1079.0,80,3621.068018
-600.0,600,3623.056952
-1163.0,164,3630.350756
-1064.0,65,3666.359907
-1452.0,453,3764.361897
-600.0,600,3778.154886
-600.0,600,3929.589482
-600.0,600,3980.999002
-600.0,600,4000.632343
-600.0,600,4070.688766
-1108.0,109,4070.688834
-600.0,600,4074.013621
-1015.0,16,4083.915905
-600.0,600,4138.89753
-1269.0,270,4151.194767
-1033.0,34,4166.755811
-600.0,600,4253.798998
-600.0,600,4268.557724
-600.0,600,4493.366332
-600.0,600,4564.698223
-600.0,600,4568.083358
-600.0,600,4578.2619
-600.0,600,4647.909594
-600.0,600,4664.099642
-600.0,600,4754.088541
-600.0,600,4769.422007
-1200.0,201,4940.527384
-600.0,600,5002.724952
-600.0,600,5075.083063
-600.0,600,5078.513757
-600.0,600,5088.80788
-600.0,600,5158.634121
-600.0,600,5174.647688
-600.0,600,5264.619944
-1188.0,189,5335.106905
-1381.0,382,5399.787981
-600.0,600,5450.896425
-600.0,600,5512.9366
-1292.0,293,5584.339782
-600.0,600,5588.615495
-600.0,600,5598.793862
-600.0,600,5668.664416
-600.0,600,5775.208243
-1083.0,84,5846.742885
-600.0,600,5910.586517
-600.0,600,5961.533226
-600.0,600,6023.552642
-600.0,600,6094.957129
-600.0,600,6099.210197
-600.0,600,6109.345609
-600.0,600,6179.060976
-1188.0,189,6338.633482
-600.0,600,6355.002433
-1064.0,65,6391.856454
-1026.0,27,6414.01088
-600.0,600,6416.540923
-600.0,600,6465.825506
-1442.0,443,6469.917636
-600.0,600,6526.047258
-600.0,600,6596.480699
-600.0,600,6611.004899
-1222.0,223,6800.589262
-600.0,600,6858.468768
-600.0,600,6919.662028
-600.0,600,6922.165616
-600.0,600,6973.071329
-600.0,600,6977.26907
-600.0,600,7034.830403
-1214.0,215,7040.728858
-600.0,600,7106.218603
-1190.0,191,7139.258749
-600.0,600,7309.345611
-600.0,600,7426.025483
-600.0,600,7428.545709
-600.0,600,7479.040164
-1034.0,35,7508.718587
-600.0,600,7540.867959
-600.0,600,7546.775915
-600.0,600,7612.192814
-600.0,600,7645.260311
-1151.0,152,7669.790479
-600.0,600,7996.436044
-600.0,600,8111.154832
-600.0,600,8113.723586
-600.0,600,8194.574596
-600.0,600,8232.958804
-1495.0,496,8243.214826
-1076.0,77,8260.273841
-1036.0,37,8274.804055
-600.0,600,8298.671965
-1045.0,46,8313.933917
-600.0,600,8356.437188
-600.0,600,8502.787198
-600.0,600,8621.820595
-600.0,600,8624.325489
-1431.0,432,8723.627265
-600.0,600,8743.234493
-600.0,600,8770.457466
-567.0,568,8796.915712
-600.0,600,8808.734317
-1344.0,345,8915.062307
-1300.0,301,8979.803032
-600.0,600,9013.033185
-417.0,418,9099.302049
-600.0,600,9135.016744
-600.0,600,9279.12984
-600.0,600,9304.515308
-600.0,600,9315.970483
-600.0,600,9421.84925
-600.0,600,9486.310392
-600.0,600,9519.436033
-1316.0,317,9584.666526
-600.0,600,9605.062319
-1112.0,113,9615.307728
-600.0,600,9640.630703
-1109.0,110,9708.50262
-1043.0,44,9745.744559
-600.0,600,9786.64727
-600.0,600,9813.034367
-1512.0,513,9922.139357
-600.0,600,9931.456647
-1040.0,41,9956.859212
-1043.0,44,9968.763952
-1512.0,513,10077.041398
-600.0,600,10094.913726
-600.0,600,10115.327605
-1024.0,25,10136.560493
-1240.0,241,10174.045417
-600.0,600,10256.648073
-600.0,600,10297.614276
-600.0,600,10323.890774
-600.0,600,10467.282618
-600.0,600,10587.330895
-600.0,600,10605.140279
-600.0,600,10646.787257
-600.0,600,10684.112787
-600.0,600,10766.54687
-600.0,600,10807.267537
-600.0,600,10833.543686
-1040.0,41,10868.275825
-600.0,600,10976.882297
-1021.0,22,10995.482843
-600.0,600,11096.638337
-600.0,600,11114.525884
-600.0,600,11156.226859
-600.0,600,11193.524619
-600.0,600,11275.915277
-600.0,600,11316.650907
-1012.0,13,11327.621962
-600.0,600,11377.84515
-600.0,600,11504.934394
-600.0,600,11605.906235
-600.0,600,11623.742213
-600.0,600,11665.38055
-1374.0,375,11695.970537
-600.0,600,11702.80535
-600.0,600,11785.380791
-1234.0,235,11805.936638
-600.0,600,11837.426322
-600.0,600,12015.075571
-600.0,600,12133.721373
-600.0,600,12175.227341
-600.0,600,12396.573367
-600.0,600,12400.83704
-600.0,600,12480.428182
-1352.0,353,12499.948782
-600.0,600,12500.813714
-600.0,600,12532.117244
-1536.0,537,12774.390821
-1469.0,470,12789.688504
-600.0,600,12869.777009
-600.0,600,12907.286599
-600.0,600,12989.569016
-600.0,600,13009.065708
-600.0,600,13009.937606
-600.0,600,13041.282642
-1477.0,478,13181.095113
-1177.0,178,13192.975164
-600.0,600,13300.319078
-600.0,600,13380.583577
-600.0,600,13417.966296
-1138.0,139,13418.810192
-1062.0,63,13434.099571
-600.0,600,13500.357895
-600.0,600,13519.947516
-600.0,600,13520.80994
-1123.0,124,13524.224481
-600.0,600,13691.917755
-600.0,600,13703.821562
-600.0,600,13928.215521
-600.0,600,13944.380579
-600.0,600,14010.770456
-600.0,600,14030.399678
-600.0,600,14031.250519
-600.0,600,14034.688119
-1040.0,41,14045.670671
-1454.0,455,14078.777468
-600.0,600,14213.705007
-1441.0,442,14409.989155
-600.0,600,14438.005185
-600.0,600,14454.253613
-600.0,600,14540.093607
-600.0,600,14540.954626
-600.0,600,14555.441598
-1569.0,570,14563.060735
-600.0,600,14723.756238
-600.0,600,14919.451686
-600.0,600,14947.461233
-600.0,600,14963.542873
-1497.0,498,14985.567876
-600.0,600,15049.197163
-600.0,600,15050.040481
-600.0,600,15064.512601
-600.0,600,15232.420139
-600.0,600,15428.731802
-600.0,600,15456.794557
-600.0,600,15473.003194
-600.0,600,15495.222703
-600.0,600,15559.044188
-600.0,600,15559.898761
-600.0,600,15574.411565
-600.0,600,15742.86058
-600.0,600,15939.4997
-600.0,600,15967.605342
-600.0,600,15983.828023
-600.0,600,16006.008241
-600.0,600,16069.839897
-600.0,600,16070.700494
-600.0,600,16085.068905
-600.0,600,16252.902415
-600.0,600,16449.146473
-600.0,600,16477.123993
-600.0,600,16493.347803
-1286.0,287,16496.748132
-600.0,600,16515.606444
-600.0,600,16579.023958
-600.0,600,16579.849136
-600.0,600,16594.222532
-1042.0,43,16763.678283
-1220.0,221,16769.425686
-1116.0,117,16810.885676
-600.0,600,17119.836226
-600.0,600,17136.110958
-600.0,600,17139.531868
-600.0,600,17158.145458
-1051.0,52,17164.142102
-1066.0,67,17196.521616
-600.0,600,17222.909744
-600.0,600,17273.905311
-1136.0,137,17274.73428
-600.0,600,17279.866643
-600.0,600,17321.44339
-600.0,600,17646.066484
-600.0,600,17674.186678
-600.0,600,17706.439897
-600.0,600,17733.304305
-600.0,600,17785.574084
-600.0,600,17786.43903
-600.0,600,17791.668364
-600.0,600,17834.220254
-1241.0,242,17916.351639
-1019.0,20,17933.422631
-1179.0,180,18089.19793
-600.0,600,18164.44285
-600.0,600,18193.053291
-1425.0,426,18202.615496
-600.0,600,18253.150642
-1582.0,583,18290.421908
-1156.0,157,18300.909758
