#{"t_start": 1769022617.4688556, "env_id": "None"}
r,l,t
-600.0,600,32.474085
-600.0,600,32.474176
-600.0,600,32.474203
-600.0,600,32.474225
-600.0,600,32.474243
-600.0,600,32.47426
-600.0,600,32.474276
-600.0,600,32.474294
-1157.0,158,50.568011
-1195.0,196,54.714228
-600.0,600,99.866471
-600.0,600,99.866539
-600.0,600,99.866558
-600.0,600,99.866567
-600.0,600,99.866576
-600.0,600,99.866584
-1088.0,89,109.748817
-600.0,600,117.784434
-1008.0,9,118.816025
-600.0,600,122.24944
-1233.0,234,126.591325
-600.0,600,167.268254
-600.0,600,167.268334
-600.0,600,167.268357
-600.0,600,167.268376
-1080.0,81,176.551139
-600.0,600,177.47978
-600.0,600,186.348755
-600.0,600,189.493545
-600.0,600,193.448009
-1199.0,200,216.093068
-1037.0,38,220.512133
-600.0,600,235.059919
-600.0,600,235.059975
-600.0,600,235.059989
-600.0,600,244.212534
-600.0,600,245.143019
-1161.0,162,253.347417
-600.0,600,253.894409
-600.0,600,256.945878
-600.0,600,287.728703
-600.0,600,302.361773
-600.0,600,302.361843
-1586.0,587,310.196557
-600.0,600,312.544608
-1160.0,161,320.938969
-600.0,600,321.04299
-600.0,600,321.614227
-600.0,600,324.723268
-1226.0,227,338.058524
-600.0,600,355.232344
-1559.0,560,365.149786
-600.0,600,377.348048
-600.0,600,388.286213
-600.0,600,388.410773
-600.0,600,388.97459
-600.0,600,392.324947
-1095.0,96,399.730583
-600.0,600,405.752358
-600.0,600,423.536239
-1262.0,263,429.962979
-600.0,600,433.740897
-600.0,600,445.8606
-600.0,600,456.185948
-600.0,600,456.332283
-600.0,600,460.172501
-1051.0,52,462.090881
-1038.0,39,466.302853
-600.0,600,473.018509
-1284.0,285,487.634617
-600.0,600,490.580077
-600.0,600,496.804012
-600.0,600,500.68635
-600.0,600,513.328347
-600.0,600,527.991862
-600.0,600,724.090719
-600.0,600,731.133336
-600.0,600,745.804214
-600.0,600,748.65988
-1005.0,6,749.385263
-600.0,600,754.646765
-600.0,600,758.676988
-600.0,600,771.118867
-600.0,600,785.719848
-1241.0,242,786.439976
-1051.0,52,791.945429
-600.0,600,792.508161
-600.0,600,799.687504
-600.0,600,814.493721
-600.0,600,818.169691
-1025.0,26,821.329728
-600.0,600,823.94182
-600.0,600,840.008294
-1433.0,434,849.07821
-600.0,600,854.880245
-600.0,600,860.042243
-600.0,600,860.607422
-600.0,600,882.134455
-600.0,600,888.836471
-600.0,600,891.256762
-600.0,600,907.261991
-600.0,600,916.792974
-600.0,600,922.732922
-600.0,600,927.919862
-600.0,600,928.470716
-600.0,600,950.653327
-1408.0,409,954.282111
-600.0,600,957.448601
-600.0,600,959.978215
-1201.0,202,973.871832
-600.0,600,985.518775
-600.0,600,991.13241
-1556.0,557,991.506482
-1587.0,588,995.598534
-1199.0,200,1007.945495
-600.0,600,1022.265844
-600.0,600,1025.313468
-600.0,600,1027.862229
-600.0,600,1041.647019
-600.0,600,1059.034737
-600.0,600,1059.397147
-600.0,600,1063.564641
-600.0,600,1076.026013
-600.0,600,1090.151247
-600.0,600,1092.988877
-600.0,600,1095.517271
-1019.0,20,1098.006644
-1346.0,347,1102.925268
-600.0,600,1109.723344
-1067.0,68,1110.599895
-600.0,600,1126.970049
-600.0,600,1127.292201
-1214.0,215,1133.744725
-600.0,600,1143.848095
-600.0,600,1158.220482
-600.0,600,1161.145622
-600.0,600,1165.675255
-600.0,600,1178.267961
-600.0,600,1194.857381
-600.0,600,1195.170219
-1460.0,461,1195.826099
-600.0,600,1201.597079
-600.0,600,1225.173689
-600.0,600,1228.361173
-1331.0,332,1232.190838
-600.0,600,1233.182007
-600.0,600,1245.863806
-600.0,600,1262.479567
-600.0,600,1263.569089
-600.0,600,1269.579331
-600.0,600,1482.10087
-600.0,600,1484.99829
-600.0,600,1488.611094
-600.0,600,1489.59039
-1022.0,23,1492.133377
-600.0,600,1501.471988
-1420.0,421,1504.632344
-600.0,600,1517.710231
-600.0,600,1518.723655
-600.0,600,1548.248334
-600.0,600,1551.266675
-1024.0,25,1554.332313
-600.0,600,1555.238171
-600.0,600,1558.834343
-1065.0,66,1562.641953
-600.0,600,1568.396653
-600.0,600,1571.37029
-1085.0,86,1580.736783
-600.0,600,1584.270187
-600.0,600,1585.228062
-1047.0,48,1586.04774
-600.0,600,1614.563727
-1525.0,526,1616.488729
-600.0,600,1620.32913
-1034.0,35,1624.380116
-600.0,600,1628.60633
-600.0,600,1634.297852
-1181.0,182,1648.398276
-600.0,600,1650.192312
-600.0,600,1651.151977
-600.0,600,1651.874188
-1012.0,13,1653.348192
-1325.0,326,1659.926196
-1145.0,146,1675.88347
-600.0,600,1680.417186
-600.0,600,1682.33474
-1005.0,6,1682.98376
-600.0,600,1699.900167
-1547.0,548,1713.518113
-600.0,600,1714.218885
-600.0,600,1716.145654
-600.0,600,1717.138947
-1357.0,358,1722.308027
-600.0,600,1742.120655
-1008.0,9,1743.066513
-600.0,600,1746.638549
-1080.0,81,1752.13009
-1062.0,63,1753.750833
-1018.0,19,1755.769331
-600.0,600,1766.310562
-600.0,600,1779.511863
-600.0,600,1780.171688
-600.0,600,1781.961245
-600.0,600,1782.935117
-1034.0,35,1783.9379
-600.0,600,1788.150109
-1101.0,102,1790.597884
-1105.0,106,1794.575396
-1007.0,8,1795.5198
-1086.0,87,1797.827935
-1423.0,424,1798.312268
-1022.0,23,1800.418379
-600.0,600,1821.41059
-600.0,600,1832.069332
-1013.0,14,1833.696911
-1021.0,22,1836.121642
-600.0,600,1847.825065
-1013.0,14,1849.417987
-600.0,600,1849.841306
-600.0,600,1856.346424
-600.0,600,1861.110906
-1255.0,256,1863.556573
-600.0,600,1863.774095
-600.0,600,1865.765134
-1002.0,3,1866.082905
-1107.0,108,1877.793904
-600.0,600,1886.567623
-1259.0,260,1889.416671
-1119.0,120,1900.067845
-1043.0,44,1904.921937
-1576.0,577,1912.384274
-600.0,600,1915.462
-600.0,600,1922.382721
-600.0,600,1929.736721
-1068.0,69,1929.949834
-600.0,600,1929.949898
-1138.0,139,1931.004236
-1014.0,15,1931.463301
-1033.0,34,1933.814512
-1050.0,51,1935.716309
-1051.0,52,1941.359127
-1269.0,270,1942.41125
-600.0,600,1944.34943
-1137.0,138,1946.697967
-1001.0,2,1946.943794
-600.0,600,1955.882102
-1008.0,9,1956.938489
-1177.0,178,1961.078166
-1059.0,60,1967.426334
-1113.0,114,1969.307073
-600.0,600,1970.933748
-1010.0,11,1972.121131
-1439.0,440,1979.036173
-600.0,600,1999.098001
-1002.0,3,1999.404836
-600.0,600,2007.723407
-600.0,600,2009.485616
-600.0,600,2011.962922
-600.0,600,2203.507529
-600.0,600,2205.389452
-600.0,600,2208.246877
-600.0,600,2215.454119
-600.0,600,2236.009054
-600.0,600,2244.0861
-600.0,600,2245.864158
-1014.0,15,2247.468792
-600.0,600,2248.334849
-1003.0,4,2248.752613
-1358.0,359,2254.236412
-600.0,600,2268.709806
-1011.0,12,2270.074236
-600.0,600,2270.71912
-1017.0,18,2272.15612
