#{"t_start": 1769026024.4255803, "env_id": "None"}
r,l,t
-600.0,600,34.156052
-600.0,600,34.156127
-600.0,600,34.15614
-600.0,600,34.156148
-600.0,600,34.156157
-600.0,600,34.156165
-600.0,600,34.156173
-600.0,600,34.156182
-252.0,153,52.533719
-422.0,323,88.965226
-663.0,564,98.955133
-600.0,600,102.865071
-600.0,600,102.865137
-600.0,600,102.865149
-600.0,600,102.865158
-600.0,600,102.865167
-600.0,600,102.865175
-131.0,32,106.335843
-430.0,331,140.373955
-600.0,600,156.97537
-122.0,23,159.621332
-649.0,550,165.593376
-600.0,600,167.212486
-362.0,263,170.502406
-600.0,600,171.160687
-600.0,600,171.160751
-600.0,600,171.160764
-600.0,600,174.752135
-134.0,35,175.076771
-185.0,86,180.320766
-600.0,600,228.10195
-600.0,600,233.928524
-600.0,600,235.374537
-188.0,89,238.08012
-600.0,600,239.500927
-600.0,600,239.500988
-600.0,600,243.316904
-600.0,600,243.735477
-600.0,600,248.741949
-467.0,368,290.464781
-600.0,600,301.842587
-600.0,600,303.414842
-600.0,600,306.220046
-688.0,589,306.341646
-600.0,600,307.649769
-600.0,600,311.25405
-600.0,600,311.578669
-600.0,600,358.687106
-600.0,600,370.147862
-600.0,600,371.903105
-600.0,600,374.649413
-600.0,600,374.777261
-600.0,600,376.041985
-600.0,600,379.726974
-600.0,600,380.094849
-200.0,101,382.019908
-156.0,57,382.70092
-600.0,600,428.074167
-571.0,472,429.373375
-565.0,466,436.009327
-600.0,600,441.231517
-222.0,123,443.339966
-600.0,600,444.042251
-600.0,600,448.979067
-600.0,600,449.292633
-160.0,61,450.302305
-113.0,14,450.512415
-600.0,600,451.753472
-600.0,600,497.3025
-600.0,600,505.507342
-120.0,21,507.962544
-600.0,600,510.938226
-600.0,600,513.591253
-600.0,600,518.670919
-600.0,600,519.664425
-600.0,600,519.878943
-600.0,600,521.209072
-572.0,473,722.582146
-600.0,600,723.778105
-147.0,48,729.223572
-600.0,600,733.855857
-600.0,600,739.724164
-600.0,600,745.069466
-600.0,600,746.194636
-600.0,600,746.447106
-600.0,600,747.780252
-146.0,47,751.793113
-226.0,127,766.653562
-426.0,327,767.23861
-600.0,600,792.695458
-600.0,600,804.661983
-600.0,600,810.573241
-600.0,600,815.792084
-150.0,51,816.399606
-600.0,600,817.056879
-107.0,8,818.037514
-600.0,600,818.42531
-102.0,3,818.818764
-600.0,600,837.318116
-600.0,600,837.951783
-205.0,106,849.641181
-600.0,600,862.581344
-597.0,498,874.221823
-600.0,600,874.221885
-600.0,600,885.68753
-600.0,600,887.909258
-600.0,600,888.572265
-600.0,600,907.326659
-600.0,600,919.047116
-392.0,293,922.318251
-155.0,56,925.529563
-600.0,600,932.058994
-211.0,112,935.480308
-600.0,600,944.275577
-600.0,600,944.275654
-243.0,244,954.249199
-600.0,600,955.561328
-600.0,600,957.736726
-207.0,108,966.804513
-143.0,44,971.976138
-600.0,600,977.471353
-183.0,84,981.840908
-555.0,456,985.740633
-600.0,600,1005.133962
-600.0,600,1013.66078
-600.0,600,1013.660855
-195.0,96,1024.58586
-600.0,600,1024.697959
-600.0,600,1026.812153
-224.0,125,1038.84485
-600.0,600,1045.887451
-600.0,600,1049.958236
-116.0,17,1051.959349
-600.0,600,1053.803273
-264.0,165,1065.041775
-600.0,600,1073.88429
-600.0,600,1082.324251
-629.0,530,1087.783585
-418.0,319,1089.088964
-600.0,600,1093.519068
-600.0,600,1108.217262
-600.0,600,1123.446664
-600.0,600,1134.58428
-139.0,40,1139.034038
-600.0,600,1143.422964
-142.0,43,1148.294449
-600.0,600,1151.735688
-600.0,600,1157.10155
-600.0,600,1158.519123
-600.0,600,1163.186596
-293.0,194,1170.830445
-600.0,600,1177.570404
-638.0,539,1185.709037
-289.0,290,1196.373639
-283.0,184,1207.076482
-600.0,600,1208.566807
-153.0,54,1213.303365
-600.0,600,1221.149801
-600.0,600,1226.508224
-600.0,600,1227.950071
-600.0,600,1240.028142
-600.0,600,1246.596537
-277.0,178,1246.969901
-191.0,92,1250.690922
-600.0,600,1266.151951
-668.0,569,1274.290939
-355.0,256,1434.887527
-343.0,244,1437.144085
-600.0,600,1440.711013
-149.0,150,1441.251932
-592.0,593,1447.425405
-187.0,88,1451.210807
-600.0,600,1455.051122
-211.0,212,1472.28914
-600.0,600,1474.226998
-600.0,600,1501.455304
-600.0,600,1503.856447
-600.0,600,1506.183595
-600.0,600,1509.873568
-600.0,600,1520.838968
-526.0,427,1523.555433
-600.0,600,1524.708856
-281.0,182,1525.170336
-136.0,37,1529.114638
-178.0,79,1538.064808
-250.0,151,1540.96294
-600.0,600,1541.620458
-600.0,600,1570.6533
-420.0,321,1574.794861
-600.0,600,1575.449277
-600.0,600,1579.394238
-600.0,600,1590.359465
-600.0,600,1594.451934
-308.0,209,1599.492236
-511.0,512,1600.310534
-314.0,215,1600.724329
-534.0,535,1603.611939
-522.0,423,1639.417557
-600.0,600,1640.711667
-443.0,344,1643.532889
-600.0,600,1649.05005
-600.0,600,1664.522904
-600.0,600,1669.324295
-600.0,600,1670.198396
-600.0,600,1670.658464
-221.0,222,1696.595713
-247.0,248,1698.259577
-157.0,58,1703.189867
-184.0,85,1707.999439
-600.0,600,1709.334996
-600.0,600,1710.572607
-600.0,600,1713.424458
-482.0,383,1714.567587
-600.0,600,1719.0684
-226.0,127,1725.233897
-600.0,600,1733.891538
-345.0,246,1737.704634
-426.0,327,1740.975276
-199.0,100,1752.535094
-130.0,31,1756.185638
-454.0,355,1766.424858
-230.0,131,1771.260801
-113.0,14,1772.87587
-103.0,4,1773.394662
-600.0,600,1777.483464
-600.0,600,1782.862644
-600.0,600,1783.962398
-253.0,154,1784.087206
-600.0,600,1788.467673
-600.0,600,1803.668558
-600.0,600,1807.566695
-272.0,173,1808.853795
-473.0,374,1821.310619
-136.0,137,1825.139246
-230.0,231,1830.868469
-600.0,600,1843.764881
-337.0,238,1849.071359
-211.0,212,1849.753343
-600.0,600,1853.236381
-600.0,600,1854.449743
-600.0,600,1854.562496
-108.0,9,1855.512258
-238.0,139,1865.371003
-600.0,600,1877.708948
-248.0,249,1878.833563
-405.0,306,1879.382874
-248.0,249,1884.237075
-85.0,86,1888.715263
-150.0,151,1894.364715
-600.0,600,1900.057975
-127.0,28,1903.129585
-454.0,455,1905.073055
-201.0,202,1911.254828
-307.0,308,1918.479923
-600.0,600,1922.461905
-512.0,513,1923.117347
-327.0,228,1944.531892
-600.0,600,1946.16976
-466.0,467,1947.218192
-455.0,356,1951.769346
-600.0,600,1971.430284
-600.0,600,1973.634918
-332.0,333,1982.976391
-322.0,323,1983.593318
-600.0,600,1991.451815
-600.0,600,1992.130278
-131.0,32,1995.07201
-600.0,600,2182.225383
-600.0,600,2186.760174
-121.0,22,2189.329567
-600.0,600,2206.379261
-600.0,600,2208.526902
-140.0,41,2211.296234
-135.0,36,2215.354854
-600.0,600,2218.097426
-600.0,600,2218.663649
-414.0,315,2218.810281
-134.0,35,2219.516479
-658.0,559,2222.708793
-299.0,300,2224.36489
-150.0,51,2225.572574
-276.0,177,2229.365526
-107.0,8,2230.278286
-600.0,600,2230.648016
-110.0,11,2232.048896
-242.0,143,2241.294995
-503.0,404,2279.409336
-600.0,600,2288.508689
-600.0,600,2289.137499
-600.0,600,2289.278263
-600.0,600,2293.165792
-600.0,600,2295.918572
-600.0,600,2300.837857
-261.0,162,2308.024209
-111.0,12,2309.45549
-600.0,600,2311.362988
-176.0,77,2318.411626
-127.0,28,2321.593143
-247.0,148,2328.103017
-413.0,314,2329.063909
-600.0,600,2348.915923
-177.0,78,2357.517623
-600.0,600,2357.622846
-600.0,600,2358.143776
-600.0,600,2364.580194
-600.0,600,2369.05407
-195.0,96,2375.581661
-428.0,429,2378.169592
-312.0,213,2381.385178
-150.0,51,2383.880116
-600.0,600,2389.763575
-600.0,600,2396.750497
-373.0,274,2415.376114
-600.0,600,2426.577426
-600.0,600,2427.129457
-105.0,106,2428.12744
-600.0,600,2438.755784
-600.0,600,2445.15099
-600.0,600,2451.19966
-512.0,513,2456.38559
-600.0,600,2459.625663
-211.0,212,2462.97121
-441.0,342,2490.511945
-600.0,600,2496.099986
-600.0,600,2496.659213
-600.0,600,2497.61139
-128.0,29,2500.940784
-89.0,90,2506.789955
-600.0,600,2514.04833
-600.0,600,2525.206945
-600.0,600,2528.484188
-600.0,600,2531.746747
-479.0,380,2533.847213
-277.0,178,2545.529389
-236.0,137,2561.477871
-600.0,600,2564.764422
-600.0,600,2569.568546
-665.0,566,2571.870819
-483.0,384,2572.824302
-132.0,33,2573.589994
-217.0,118,2575.410303
-142.0,43,2580.407445
-600.0,600,2583.253329
-600.0,600,2601.438802
-600.0,600,2603.772283
-126.0,27,2604.601765
-261.0,262,2610.696636
-406.0,407,2612.001055
-447.0,348,2623.775157
