#{"t_start": 1768327491.6010618, "env_id": "None"}
r,l,t
-10.0,1,5.106995
-9.998104,5,5.310658
-9.934334,40,17.715463
-9.890916,188,87.226064
-10.465844,397,192.216045
-10.757406,219,197.348513
-10.414321,50,223.84351
-0.03251691,600,304.071932
-0.25046188,600,304.071996
0.12646459,600,304.072009
0.05220439,600,304.712045
0.41310158,600,306.955456
0.647076,600,328.099894
-9.4720955,61,340.932104
-9.967656,67,368.835833
-10.400995,69,412.632097
-9.319241,211,436.801626
0.41880056,600,566.839737
-1.0172787,600,610.589345
-8.250278,542,672.903606
-9.174723,561,691.290833
-10.02796,5,695.215317
0.42209807,600,718.147642
-9.704849,261,764.144425
-0.8082965,600,766.565355
-11.131669,533,804.609294
-0.41438708,600,886.477025
-9.611154,109,891.220964
-9.844422,190,914.911898
-9.960203,49,930.062961
-10.289549,355,999.811425
-9.9524975,515,1013.259072
-10.613484,136,1037.714128
-11.029829,49,1051.831596
-13.239538,483,1054.943611
-10.401801,16,1064.458747
-9.1815605,47,1074.602742
-9.830902,22,1092.204506
-10.625389,19,1107.39624
-9.540118,67,1108.211747
-10.136963,7,1113.031684
11.005284,286,1113.031746
-9.089521,44,1148.575334
-10.102337,13,1158.960895
-3.9664233,600,1171.886839
-10.052814,24,1178.439965
-10.012665,94,1188.731251
-13.063,349,1192.731472
-11.922808,52,1219.956516
-9.970047,4,1223.209109
-3.159109,600,1244.414166
-11.559916,73,1282.470999
-11.88441,360,1288.180509
-8.84246,192,1343.397829
-11.117239,88,1352.931974
-9.85138,19,1368.417041
-8.455864,293,1407.873353
11.923545,215,1417.373133
-11.766106,117,1437.250612
-9.366521,157,1494.41952
-1.8633227,600,1546.637978
-11.633715,141,1550.6899
-8.143258,600,1590.454496
-9.976592,74,1605.644926
-10.023897,24,1625.30889
-3.047207,600,1675.044099
-0.21925062,600,1770.087994
-8.423987,415,1827.838391
5.7331696,600,1888.789712
-2.5308583,600,1898.3365
-9.270935,352,1907.099616
-9.454378,547,1988.010474
-9.668531,103,1988.838793
11.550206,278,2048.941221
-10.268074,195,2053.74963
0.9539652,600,2070.474087
-11.31371,117,2081.375518
-12.1617775,401,2089.304412
-8.805096,56,2125.699083
-6.5089703,571,2130.486435
-10.215757,132,2153.429325
-9.862146,22,2170.971606
12.108767,158,2296.001932
-15.017469,250,2323.869389
-9.97698,59,2342.963932
-2.3174086,600,2365.386832
2.3009949,600,2465.349325
0.23753668,600,2529.748858
-1.3925229,600,2546.434119
2.6369495,600,2565.325746
3.9150898,600,2607.095153
-10.110751,600,2803.951238
-1.3878849,600,2823.501404
-0.5879407,600,2846.090002
-10.014581,417,2882.428149
-10.010327,10,2890.292003
0.45972613,600,2947.451036
0.6444064,600,3013.448578
-9.787949,93,3023.245755
2.3368032,600,3049.382876
-11.002267,600,3091.630837
-0.5957107,600,3289.213465
-0.25814843,600,3308.743697
1.5573548,600,3331.553169
