#{"t_start": 1768828224.5507534, "env_id": "None"}
r,l,t
-1217.0,218,15.587604
-600.0,600,32.659242
-600.0,600,32.659309
-600.0,600,32.659323
-600.0,600,32.659343
-600.0,600,32.659353
-600.0,600,32.659363
-600.0,600,32.659372
-600.0,600,135.694968
-1331.0,332,190.129672
-600.0,600,320.951962
-600.0,600,320.952038
-600.0,600,320.95205
-600.0,600,320.952059
-600.0,600,320.952068
-600.0,600,320.952076
-1015.0,16,328.83279
-1458.0,459,358.514676
-600.0,600,482.883708
-600.0,600,614.336783
-600.0,600,614.336846
-600.0,600,614.336858
-600.0,600,614.336866
-600.0,600,614.336876
-600.0,600,622.200014
-600.0,600,652.092752
-1110.0,111,668.939332
-1125.0,126,684.076701
-600.0,600,777.755511
-1119.0,120,837.428759
-1079.0,80,876.688383
-1531.0,532,876.688452
-600.0,600,910.686458
-600.0,600,910.686531
-600.0,600,910.686543
-1531.0,532,915.232759
-1529.0,530,931.023575
-1047.0,48,934.466704
-600.0,600,981.120547
-1005.0,6,984.073483
-248.0,249,1000.55935
-1144.0,145,1003.033113
-1099.0,100,1050.543796
-1120.0,121,1063.559503
-600.0,600,1176.385701
-600.0,600,1210.247336
-600.0,600,1210.247825
-600.0,600,1214.71922
-1588.0,589,1228.600545
-1036.0,37,1233.134892
-1066.0,67,1262.005779
-600.0,600,1283.805942
-1072.0,73,1298.257136
-600.0,600,1348.76659
-600.0,600,1361.752038
-1007.0,8,1365.81784
-600.0,600,1473.545006
-600.0,600,1507.291153
-600.0,600,1507.291226
-600.0,600,1530.229368
-1021.0,22,1541.328313
-600.0,600,1581.204462
-1002.0,3,1582.694044
-1170.0,171,1592.705607
-600.0,600,1595.71449
-1087.0,88,1626.542163
-1015.0,16,1634.48808
-600.0,600,1647.418543
-129.0,130,1660.096145
-600.0,600,1664.041681
-1121.0,122,1724.475525
-1226.0,227,1746.331669
-600.0,600,1771.289351
-600.0,600,1805.180318
-600.0,600,1838.773306
-600.0,600,1889.495633
-600.0,600,1943.714139
-600.0,600,1956.116068
-600.0,600,2020.464978
-600.0,600,2042.749159
-1022.0,23,2053.97029
-1234.0,235,2059.416897
-600.0,600,2067.224038
-600.0,600,2101.139653
-600.0,600,2134.873517
-1525.0,526,2149.329202
-600.0,600,2440.857698
-600.0,600,2505.707125
-1526.0,527,2508.712207
-600.0,600,2539.858131
-1077.0,78,2547.822099
-600.0,600,2553.327544
-1083.0,84,2581.897745
-600.0,600,2587.392329
-600.0,600,2620.714078
-600.0,600,2635.303611
-1159.0,160,2661.408075
-1001.0,2,2662.419013
-1226.0,227,2666.45074
-1096.0,97,2683.668444
-600.0,600,2739.839757
-1092.0,93,2785.843751
-1260.0,261,2795.79926
-367.0,368,2803.8083
-600.0,600,2804.324171
-1055.0,56,2832.160372
-600.0,600,2845.913713
-600.0,600,2885.734329
-600.0,600,2960.867161
-600.0,600,2982.317663
-600.0,600,3084.203917
-600.0,600,3094.331448
-600.0,600,3102.454817
-600.0,600,3130.963591
-600.0,600,3145.081135
-600.0,600,3184.563665
-600.0,600,3260.03139
-600.0,600,3281.387997
-600.0,600,3384.546189
-600.0,600,3394.593854
-600.0,600,3402.559975
-600.0,600,3431.146338
-600.0,600,3445.08823
-600.0,600,3484.409467
-600.0,600,3560.312133
-600.0,600,3582.171821
-600.0,600,3685.155678
-600.0,600,3694.910969
-600.0,600,3702.671142
-600.0,600,3730.745282
-600.0,600,3744.818042
-600.0,600,3784.551388
-600.0,600,3859.83286
-600.0,600,3881.351962
-600.0,600,3984.473871
-600.0,600,3994.509375
-600.0,600,4002.458085
-600.0,600,4030.954889
-600.0,600,4045.051786
-600.0,600,4084.664563
-600.0,600,4160.151011
-600.0,600,4181.81431
-600.0,600,4285.567727
-600.0,600,4295.681515
-600.0,600,4303.858251
-600.0,600,4332.424393
-600.0,600,4346.519616
-600.0,600,4386.457702
-600.0,600,4461.651445
-600.0,600,4483.065754
-1335.0,336,4514.457435
-600.0,600,4586.042847
-600.0,600,4596.048808
-600.0,600,4603.953252
-1007.0,8,4607.881291
-600.0,600,4632.213915
-600.0,600,4685.650144
-600.0,600,4761.571459
-600.0,600,4783.297472
-600.0,600,4814.898222
-1007.0,8,4818.949153
-600.0,600,4886.228271
-1412.0,413,5082.708768
-600.0,600,5086.002003
-600.0,600,5097.468565
-600.0,600,5121.582235
-1378.0,379,5197.596935
-600.0,600,5251.891545
-600.0,600,5273.765098
-600.0,600,5377.321569
-600.0,600,5383.87071
-600.0,600,5387.410054
-600.0,600,5399.534039
-600.0,600,5424.333818
-600.0,600,5500.911538
-600.0,600,5555.064615
-600.0,600,5576.502333
-600.0,600,5680.82106
-600.0,600,5687.417352
-600.0,600,5690.994617
-600.0,600,5703.248648
-600.0,600,5728.13382
-600.0,600,5804.38687
-1005.0,6,5807.388636
-600.0,600,5858.701015
-600.0,600,5880.494113
-1051.0,52,5885.012228
-483.0,484,5973.403693
-600.0,600,5985.267652
-600.0,600,5991.810963
-600.0,600,5995.41422
-600.0,600,6007.678868
-600.0,600,6112.454244
-600.0,600,6186.137386
-600.0,600,6190.796576
-600.0,600,6280.005312
-600.0,600,6291.874114
-600.0,600,6298.527323
-600.0,600,6302.1482
-600.0,600,6314.533171
-600.0,600,6418.857023
-600.0,600,6491.942311
-600.0,600,6496.56309
-600.0,600,6584.338851
-600.0,600,6595.947626
-600.0,600,6602.50851
-600.0,600,6606.031643
-600.0,600,6618.153012
-600.0,600,6724.24035
-600.0,600,6798.385784
-600.0,600,6802.889489
-600.0,600,6891.384316
-600.0,600,6903.257025
-600.0,600,6909.958496
-600.0,600,6913.465099
-600.0,600,6925.783541
-600.0,600,7031.036169
-600.0,600,7105.176658
-600.0,600,7109.814078
-600.0,600,7199.481688
-600.0,600,7211.274974
-600.0,600,7218.051852
-600.0,600,7221.696102
-600.0,600,7233.97751
-1106.0,107,7266.699798
-600.0,600,7339.974863
-600.0,600,7414.3977
-600.0,600,7418.924837
-600.0,600,7508.84655
-600.0,600,7526.9786
-600.0,600,7530.643644
-600.0,600,7543.186444
-600.0,600,7575.646785
-600.0,600,7837.28009
-600.0,600,7910.575792
-600.0,600,7915.253467
-600.0,600,8004.167096
-600.0,600,8022.744039
-600.0,600,8026.350513
-600.0,600,8038.765445
-600.0,600,8071.389453
-600.0,600,8145.090029
-600.0,600,8219.881801
-600.0,600,8224.640406
-600.0,600,8314.663033
-1550.0,551,8324.13373
-1348.0,349,8326.208201
-600.0,600,8333.498209
-600.0,600,8337.027061
-600.0,600,8382.508877
-600.0,600,8532.849492
-600.0,600,8537.551388
-600.0,600,8628.265473
-600.0,600,8637.81784
-600.0,600,8639.834247
-600.0,600,8647.127717
-600.0,600,8650.758866
-600.0,600,8695.396959
-600.0,600,8846.495961
-600.0,600,8851.303594
-600.0,600,8942.816458
-600.0,600,8952.281447
-600.0,600,8954.411232
-600.0,600,8961.841797
-600.0,600,8965.452092
-600.0,600,9011.257222
-600.0,600,9162.608312
-600.0,600,9167.425462
-600.0,600,9259.517303
-600.0,600,9268.774304
-600.0,600,9270.84203
-600.0,600,9278.042768
-600.0,600,9281.639437
-600.0,600,9326.820159
-600.0,600,9478.02306
-600.0,600,9482.830395
-600.0,600,9574.414921
-600.0,600,9583.977936
-600.0,600,9586.067453
-600.0,600,9593.342465
-600.0,600,9597.015741
-600.0,600,9642.600104
-600.0,600,9792.879648
-600.0,600,9797.70414
-600.0,600,9888.821812
-600.0,600,9898.40556
-600.0,600,9900.592052
-600.0,600,9908.050563
-1004.0,5,9910.692719
-600.0,600,9911.790057
-600.0,600,9957.811529
-600.0,600,10109.434489
-600.0,600,10114.10025
-600.0,600,10206.2858
-600.0,600,10215.530568
-600.0,600,10217.62728
-600.0,600,10227.610946
-600.0,600,10228.707178
-600.0,600,10274.574305
-201.0,202,10324.372723
-600.0,600,10425.630789
-600.0,600,10622.562511
-600.0,600,10712.338455
-600.0,600,10721.827922
-600.0,600,10734.087165
